territorio,nome_territorio,anno,genere,stato,quota
082006,Bagheria,2018,F,occupati,4.7
082006,Bagheria,2018,M,occupati,11.5
082006,Bagheria,2018,T,occupati,8.2
082006,Bagheria,2019,F,occupati,5.2
082006,Bagheria,2019,M,occupati,11.8
082006,Bagheria,2019,T,occupati,8.6
082006,Bagheria,2021,F,occupati,6.2
082006,Bagheria,2021,M,occupati,13.8
082006,Bagheria,2021,T,occupati,10.1
082006,Bagheria,2022,F,occupati,7.7
082006,Bagheria,2022,M,occupati,15.4
082006,Bagheria,2022,T,occupati,11.7
082006,Bagheria,2023,F,occupati,8.0
082006,Bagheria,2023,M,occupati,15.2
082006,Bagheria,2023,T,occupati,11.7
082006,Bagheria,2024,F,occupati,8.2
082006,Bagheria,2024,M,occupati,16.5
082006,Bagheria,2024,T,occupati,12.4
082053,Palermo,2018,F,occupati,6.3
082053,Palermo,2018,M,occupati,12.0
082053,Palermo,2018,T,occupati,9.3
082053,Palermo,2019,F,occupati,6.9
082053,Palermo,2019,M,occupati,12.1
082053,Palermo,2019,T,occupati,9.6
082053,Palermo,2021,F,occupati,7.5
082053,Palermo,2021,M,occupati,13.9
082053,Palermo,2021,T,occupati,10.8
082053,Palermo,2022,F,occupati,8.6
082053,Palermo,2022,M,occupati,15.3
082053,Palermo,2022,T,occupati,12.0
082053,Palermo,2023,F,occupati,9.2
082053,Palermo,2023,M,occupati,15.5
082053,Palermo,2023,T,occupati,12.4
082053,Palermo,2024,F,occupati,9.6
082053,Palermo,2024,M,occupati,16.5
082053,Palermo,2024,T,occupati,13.2
IT,Italia,2018,F,occupati,14.1
IT,Italia,2018,M,occupati,22.3
IT,Italia,2018,T,occupati,18.4
IT,Italia,2019,F,occupati,14.5
IT,Italia,2019,M,occupati,23.0
IT,Italia,2019,T,occupati,18.9
IT,Italia,2021,F,occupati,15.0
IT,Italia,2021,M,occupati,24.8
IT,Italia,2021,T,occupati,20.1
IT,Italia,2022,F,occupati,16.4
IT,Italia,2022,M,occupati,26.1
IT,Italia,2022,T,occupati,21.5
IT,Italia,2023,F,occupati,16.9
IT,Italia,2023,M,occupati,26.4
IT,Italia,2023,T,occupati,21.9
IT,Italia,2024,F,occupati,17.3
IT,Italia,2024,M,occupati,26.9
IT,Italia,2024,T,occupati,22.3
ITG1,Sicilia,2018,F,occupati,7.5
ITG1,Sicilia,2018,M,occupati,14.8
ITG1,Sicilia,2018,T,occupati,11.3
ITG1,Sicilia,2019,F,occupati,8.0
ITG1,Sicilia,2019,M,occupati,15.4
ITG1,Sicilia,2019,T,occupati,11.8
ITG1,Sicilia,2021,F,occupati,8.4
ITG1,Sicilia,2021,M,occupati,17.2
ITG1,Sicilia,2021,T,occupati,13.0
ITG1,Sicilia,2022,F,occupati,9.3
ITG1,Sicilia,2022,M,occupati,18.6
ITG1,Sicilia,2022,T,occupati,14.2
ITG1,Sicilia,2023,F,occupati,9.9
ITG1,Sicilia,2023,M,occupati,19.3
ITG1,Sicilia,2023,T,occupati,14.8
ITG1,Sicilia,2024,F,occupati,10.4
ITG1,Sicilia,2024,M,occupati,20.3
ITG1,Sicilia,2024,T,occupati,15.6
082006,Bagheria,2018,F,in cerca,17.6
082006,Bagheria,2018,M,in cerca,18.6
082006,Bagheria,2018,T,in cerca,18.1
082006,Bagheria,2019,F,in cerca,17.1
082006,Bagheria,2019,M,in cerca,19.3
082006,Bagheria,2019,T,in cerca,18.2
082006,Bagheria,2021,F,in cerca,9.0
082006,Bagheria,2021,M,in cerca,12.2
